Syntax version=4
Fri Apr 28 14:34:06 2017
Starting process (2666410000 clocks per sec)

LogRawData=false
VarHeader=1
D:		new_0	new_1	new_2	new_3
D:	time(ms)	(0x20000644,2)	(0x20000646,2)	(0x20000648,2)	(0x2000064a,2)
D:	0.05	422	1	1387	0
D:	5.60	422	0	1386	0
D:	11.58	422	5	1384	0
D:	17.57	422	4	1384	0
D:	23.59	423	8	1387	0
D:	29.60	421	5	1388	0
D:	35.58	421	2	1387	0
D:	41.58	422	0	1389	0
D:	47.61	422	3	1385	0
D:	53.58	421	7	1388	0
D:	59.57	422	1	1387	0
D:	65.57	422	6	1388	0
D:	71.59	422	4	1387	0
D:	77.58	421	3	1388	0
D:	83.58	421	2	1386	0
D:	90.69	421	4	1387	0
D:	99.59	423	3	1387	0
D:	105.57	422	0	1387	0
D:	111.65	422	4	1388	0
D:	117.58	421	0	1387	0
D:	123.57	421	6	1385	0
D:	129.58	422	4	1389	0
D:	137.04	423	2	1390	0
D:	143.57	423	3	1388	0
D:	149.57	423	2	1389	0
D:	155.60	422	6	1385	0
D:	161.58	423	7	1388	0
D:	167.58	420	4	1390	0
D:	173.59	421	6	1387	0
D:	179.60	423	0	1387	0
D:	185.57	424	3	1385	0
D:	191.57	421	4	1391	0
D:	197.59	422	4	1384	0
D:	203.59	423	7	1387	0
D:	209.60	423	4	1385	0
D:	215.63	422	4	1385	0
D:	221.62	423	3	1386	0
D:	229.71	422	6	1388	0
D:	235.67	422	7	1387	0
D:	242.63	423	4	1387	0
D:	248.59	421	3	1390	0
D:	254.57	421	7	1386	0
D:	260.58	421	3	1388	0
D:	266.60	422	3	1387	0
D:	272.60	421	1	1387	0
D:	278.58	422	3	1386	0
D:	284.57	421	2	1387	0
D:	290.57	422	2	1386	0
D:	296.58	422	5	1387	0
D:	302.58	424	2	1385	0
D:	308.58	423	0	1385	0
D:	314.58	422	1	1388	0
D:	320.57	423	5	1386	0
D:	326.57	422	3	1386	0
D:	332.65	422	4	1386	0
D:	338.58	423	9	1386	0
D:	344.58	421	1	1387	0
D:	350.58	423	1	1388	0
D:	356.81	423	2	1385	0
